UnitID,Institution Name,Sector of institution (HD2017),Institution name alias (HD2017),Institution (entity) name (HD2017),Street address or post office box (HD2017),City location of institution (HD2017),ZIP code (HD2017),Institution's internet website address (HD2017),Financial aid office web address (HD2017),Admissions office web address (HD2017),Online application web address (HD2017),
121886,Rio Hondo College,1,RHCCD|RHC,Rio Hondo College,3600 Workman Mill Rd,Whittier,90601-1616,www.riohondo.edu,www.riohondo.edu/financial-aid/,www.riohondo.edu/admissions/,www.riohondo.edu/get-started/,
121901,Riverside City College,4,,Riverside City College,4800 Magnolia Avenue,Riverside,92506,www.rcc.edu/riverside/,www.rcc.edu/services/studentfinancialservices/Pages/FINANCIAL-AID-HOME.aspx,www.rcc.edu/services/admissions/Pages/admissionsandrecords.aspx,www.rcc.edu/services/admissions/Pages/Apply.aspx,
122180,Sacramento City College,4,Sacramento City | Sac City | SCC,Sacramento City College,3835 Freeport Blvd,Sacramento,95822-1386,www.scc.losrios.edu/,www.scc.losrios.edu/financialaid,www.scc.losrios.edu/admissionsrecords,www.losrios.edu/lrc/lrc_app.php,
122205,Saddleback College,4,,Saddleback College,28000 Marguerite Pky,Mission Viejo,92692-3635,www.saddleback.edu,www.saddleback.edu/fao/,www.saddleback.edu/admissions/,www.saddleback.edu/admissions/new-students/,
123527,San Bernardino Valley College,4,,San Bernardino Valley College,701 South Mount Vernon Avenue,San Bernardino,92410-2798,www.valleycollege.edu,www.valleycollege.edu/admissions-financial-aid/financial-aid.aspx,www.valleycollege.edu/admissions-financial-aid.aspx,www.valleycollege.edu/admissions-financial-aid/admissions-records/admissions/application,
122339,San Diego City College,4,,San Diego City College,1313 Park Boulevard,San Diego,92101-4787,www.sdcity.edu/,www.sdcity.edu/studentresources/financialaid/default.asp,www.sdcity.edu/admissions/default.asp,studentweb.sdccd.edu/,
122375,San Diego Mesa College,1,,San Diego Mesa College,7250 Mesa College Dr,San Diego,92111-4998,www.sdmesa.edu/,www.sdmesa.edu/financial-aid/index.shtml,www.sdmesa.edu/admissions/index.shtml?utm_source=homepage&utm_medium=links-section&utm_campaign=links-section,studentweb.sdccd.edu,
122384,San Diego Miramar College,4,,San Diego Miramar College,10440 Black Mountain Rd,San Diego,92126-2999,www.sdmiramar.edu,www.sdmiramar.edu/campus/financial-aid,www.sdmiramar.edu/campus/financial-aid/apply,studentweb.sdccd.edu/,
122409,San Diego State University,1,,San Diego State University,5500 Campanile Dr,San Diego,92182,www.sdsu.edu,go.sdsu.edu/student_affairs/financialaid/Default.aspx,arweb.sdsu.edu/es/admissions/,https://www2.calstate.edu/apply,
122597,San Francisco State University,1,,San Francisco State University,1600 Holloway Ave,San Francisco,94132,www.sfsu.edu,www.sfsu.edu/~finaid/,www.sfsu.edu/future/appcentral/appcentral.html,https://www2.calstate.edu/apply,
